code,name,crime
11680,서울,360468
26350,부산,137788
27110,대구광역시,97968
28110,인천광역시,92766
29200,광산구,67513
30200,유성구,45073
31110,울산광역시,38716
41190,부천시,35196
41110,수원시,38097
41130,성남시,30465
45110,전주시,22584
41170,안양시,17627
43110,청주시,21854
48125,마산합포구,1953
13861,창원시,33757
14283,광명시,8442
47110,포항시,19720
41270,안산시,25968
48170,진주시,11991
41287,고양시,28248
46110,목포시,11786
41150,의정부시,14971
45140,익산시,12611
45130,군산시,14078
47190,구미시,17847
44130,천안시,23060
46130,여수시,12704
42110,춘천시,10936
42130,원주시,15704
17743,평택시,18230
47130,경주시,11304
48250,김해시,19616
46150,순천시,10654
41410,군포시,7652
41360,남양주,14262
42150,강릉시,8984
43130,충주시,7458
47170,안동시,6150
47290,경산시,8766
44200,아산시,7767
48310,거제시,10104
47150,김천시,4195
45180,정읍시,3566
41460,용인시,19559
41390,시흥시,16666
41480,파주시,12040
48330,양산시,9273
41500,이천시,7292
11903,구리시,7851
44210,서산시,5864
43150,제천시,4584
44230,논산시,3582
50110,제주시,29045


